Question,Answer
设施管理的定义是什么？,设施管理是在建筑环境内整合人员、场所、过程，并以改善人们生活质量、提高核心业务生产力为目的的组织职能。
什么是支持服务？,支持服务是为支持核心业务所交付的非基本活动。
设施服务的定义是什么？,设施服务是由内部供应方或外部供应商提供的、支持组织基本活动的服务供应。
什么是服务水平协议？,服务水平协议是需求组织和服务供应商之间就服务交付的绩效、测量和条件所约定的文件。
工作场所的定义是什么？,工作场所是开展工作的物理场地。
什么是核心业务？,核心业务是实现需要的实体。
资产的定义是什么？,资产是对组织有潜在价值或实际价值的物品、事物或实体。
什么是建筑环境？,建筑环境是一定区域内的建筑、外部工程（园林景观区）、基础设施和其他建设工程的集合。
设施的定义是什么？,设施是通过建造、安装或构建来服务实体需要的资产集合。
什么是需求组织？,需求组织是有权通过花费成本来满足要求的、有需要的实体。需求组织通常是组织内职能部门的授权代表。
什么是相关方？,相关方（利益相关者）是指可影响决策或活动，或者受决策或活动影响，或者认为自己会受其影响的个人或组织。
能力（胜任能力）的定义是什么？,能力是应用知识和技能以实现预期结果的本领。
什么是最终用户？,最终用户是使用来自供方产品或服务的人或组织。
什么是合同？,合同是双方当事人约定进行产品交换以获得报酬的协议。
采购的定义是什么？,采购是从供方获取商品或服务的活动。采购过程考虑到了从需要识别到服务合同终止或者商品寿命终止、包括处置在内的全生命周期。
什么是外包？,外包是安排外部组织来执行组织的部分功能或过程。
什么是过程？,过程是将输入转化为输出的相互关联或相互作用的一组活动。
产品的定义是什么？,产品是过程的结果。有四种通用的产品类别：服务、软件、硬件、流程性材料。产品可以是有形的或无形的。
服务的定义是什么？,服务是为实体执行的、随时间消逝的、无形的活动。
什么是合格（符合）？,合格（符合）是满足要求。
什么是不合格（不符合）？,不合格（不符合）是未满足要求。
什么是纠正措施？,纠正措施是为消除不合格的原因或预防再发生所采取的措施。
什么是持续改进？,持续改进是提升绩效的循环活动。
什么是零基预算？,零基预算是不考虑以往的费用支出水平，而是使用详细的资产清单以及工程和绩效标准来评估资源需要，并运用市场单位成本来创建一个总体预算的预算编制方法。
什么是生命周期成本？,生命周期成本是预计一项资产在运营存续期间的总成本（以现值计算）。
什么是公开账簿？,公开账簿是设施管理服务供应商和需求组织之间相关信息（特别是成本）的透明交换。
质量的定义是什么？,质量是客体的一组固有特性满足要求的程度。
什么是风险？,风险是不确定性的影响。影响是指偏离预期，可以是正面的或负面的。
什么是基本活动？,基本活动是构成了一个组织价值链中独特和不可或缺的能力的活动。
什么是管理体系？,管理体系是建立方针、目标、过程并实现这些目标的组织内相互关联或相互作用的一组要素。
什么是有效性？,有效性是完成计划活动和实现计划结果的程度。
什么是文件化信息？,文件化信息是需由组织控制和维护的信息以及包含该信息的载体。
什么是目标？,目标是要求实现的结果。目标可以是战略的、战术的或运作的。
什么是可交付成果？,可交付成果是在特定时间范围内，完成一个项目或项目的一部分而产生或形成的可测量、可验证的成果、结果或物品。
什么是愿景？,愿景是有关一个组织想成为什么样的组织、以及它想如何被利益相关者所看待的描述。
什么是战略层面？,战略层面是组织定义其目标和方针，并对如何实现其目标进行规划和评估的层面。
什么是战术层面？,战术层面是组织对产品运作交付所用的特定机制和资源进行计划和管理的层面。
什么是运作层面？,运作层面是为支持组织职能，以常规方式执行活动的层面。
什么是可持续性？,可持续性是在既满足当代人需要，又不危及后代人满足其需要的能力的情况下全球系统的状态，包括环境、社会和经济三个方面。
什么是应急准备？,应急准备是采取措施，有效减轻紧急事件所引起后果的能力。
什么是业务连续性？,业务连续性是在破坏性事件发生之后，组织继续在可接受的、预先制定的水平上交付产品和服务的能力。
什么是最佳实践？,最佳实践是由供方和最终用户组成的用户共同体，以制定行业指南为目的而共同工作所开发的、形成文件的过程或产品。
什么是测量？,测量是确定量值的过程。
什么是监视？,监视是确定体系、过程或者活动的状态。
什么是绩效（性能）？,绩效是可测量的结果。绩效可与定量的或定性的结果相关，也可与活动、过程、产品、体系或组织的管理相关。
什么是关键绩效指标？,关键绩效指标是为绩效考评提供必不可少信息的度量参数。
什么是基准？,基准是测量过程、绩效和质量时可对照的参考点或度量标准。
什么是基准比较分析（标杆管理）？,基准比较分析是在相同条件下并采用类似尺度，就同一性质的实践做法进行过程、绩效和质量方面的比较的过程。
什么是审核？,审核是为获得审核证据并对其进行客观的评价，以确定其满足审核准则的程度，形成系统的、独立的文件的过程。
什么是产量？,产量是可测量的活动在一段时间内的总输出量。
